text,label
"Aviato's customer success team has been really unhelpful in getting us set up and running, it's like they're not invested in our success.",complaint
"I've been using BloomCRM for a while, but I'm not sure how to use the reporting feature, can someone help me?",other
"I've been trying to get in touch with someone at Aviato about a strategic partnership, but no one seems to be responding.",complaint
The ability to set reminders in Tracksy would be incredibly helpful for our team,feature_request
"I've been using Tracksy for a while now, but the constant changes to the UI are making it hard for me to navigate.",complaint
Can you provide more information about the data encryption methods used by Aviato to secure user data?,other
"I've updated my payment method in Tracksy, but I'm still being charged to my old card, can you please fix this?",billing
"I'm starting to think that BloomCRM is just a waste of money, it's not delivering on any of its promises.",complaint
"UI issue in Aviato, the sidebar is overlapping with the main content area, making it hard to navigate.",technical_issue
"I'm interested in learning more about the security measures in place for BloomCRM, can you provide some more information?",other
"I'm getting a 'Failed to Sync' error when trying to connect my Tracksy account to BloomCRM, can you help me resolve this issue?",technical_issue
"I want to switch my payment method for Aviato from credit card to bank transfer, can I do this?",billing
"I'm being charged a currency conversion fee for my Tracksy subscription, can I pay in my local currency instead?",billing
I think it would be great if BloomCRM had a feature to automatically sync contacts with my email account.,feature_request
"I'm trying to invite a new user to our Tracksy account but I'm getting an error, can you help me troubleshoot?",other
I'm trying to decide between Aviato and a competitor - can you provide some comparison information to help me make a decision?,other
"It would be amazing if BloomCRM integrated with our existing email marketing tool, Mailchimp.",feature_request
"I'm trying to reactivate my cancelled subscription to Tracksy, but I'm being asked to pay a setup fee, is this correct?",billing
"It would be great if Tracksy integrated with Google Calendar, that way I could schedule meetings directly from the app.",feature_request
"I'm getting a 'Connection Refused' error when trying to connect to the Aviato API, can you check if there's an issue with the servers?",technical_issue
"The onboarding process for new team members on our Aviato account has been a joke, it's like you expect us to already know everything.",complaint
"The Aviato workflow editor is not saving my changes, it just reverts back to the previous version when I click save.",technical_issue
"The Tracksy dashboard is slow to load, it's taking over a minute to display my data.",technical_issue
"How do I get started with using Tracksy, is there a setup guide or tutorial available?",other
"It's crucial for our workflow to have a 'task dependency' feature in Tracksy, can you consider adding this?",feature_request
"I need to add another user to my Tracksy account, but I'm not sure how the pricing will work, can you please advise?",billing
"It would be awesome if Tracksy had a native integration with Google Drive, can you make that happen?",feature_request
"I'm having trouble with the Aviato calendar integration, it's not syncing with my Google Calendar.",technical_issue
I think BloomCRM should have a built-in survey tool for collecting customer feedback and Net Promoter Score.,feature_request
"The Tracksy task assignments are not updating in real-time, there's a delay of several minutes.",technical_issue
Can you please add a feature to BloomCRM that allows us to send automated follow-up emails to clients?,feature_request
"I'm having trouble with the BloomCRM API, it's returning a '401 Unauthorized' error, even though I've checked my API keys.",technical_issue
"The UI for the Aviato reporting tool is not loading, I just get a blank page with a loading animation that never stops.",technical_issue
"I'm disappointed in the lack of innovation from BloomCRM, it's like you're just playing catch-up with the competition.",complaint
"I'm being charged for a feature I don't use, can I get a refund or switch to a different plan with Aviato?",billing
"The invoice for Aviato is incorrect, it's showing the wrong plan and price.",billing
"I'm having trouble with the Tracksy API, it's not returning the expected data and I'm getting a 'Invalid Request' error.",technical_issue
"I'd like to request a demo of the Aviato premium features, can that be arranged?",other
"I don't understand why Aviato can't seem to get the reporting feature right, it's been a year and it still doesn't work as expected.",complaint
"Aviato's date picker is not working, it's not allowing me to select a date.",technical_issue
"I'd like to know more about integrating BloomCRM with our existing Tracksy system, is this possible?",other
"I'm getting a 'timeout error' when trying to access the Aviato analytics page, can you increase the timeout limit or help me troubleshoot?",technical_issue
"I'm being charged for a feature I don't use in Aviato, can I get a customized pricing plan?",billing
"I have a question about the invoice for my BloomCRM subscription, can you please clarify the charges for me?",billing
"I'm starting to feel like I've made a huge mistake by investing in Tracksy, the returns just aren't there.",complaint
"I don't understand why Aviato can't seem to get the basics right, it's like you're trying to overcomplicate things.",complaint
"I'm not sure what's going on with your team, but the support for BloomCRM has been subpar at best.",complaint
"I want to upgrade my plan in Tracksy, but I don't want to be charged a pro-rated fee, can I do this?",billing
I'm getting a '504 Gateway Timeout' error when trying to access the Aviato dashboard.,technical_issue
"I think it would be amazing if Aviato integrated with Google Calendar, that would make scheduling meetings so much easier.",feature_request
"I'm getting a 'database connection error' when trying to access the BloomCRM reports, can you please fix this?",technical_issue
I'd like to request some information about the upcoming features and roadmap for Tracksy - are there any exciting developments on the horizon?,other
I'd love to get some feedback from your team on how we can use Aviato to streamline our workflow - can someone review our current process and provide suggestions?,other
I think it would be really helpful if Tracksy had a feature to set reminders for upcoming deadlines.,feature_request
"My company is tax exempt, but the BloomCRM invoice is showing tax, can you update our account to reflect this?",billing
"I'm interested in learning more about the company culture at Aviato, can I schedule a call with someone from HR?",other
"How do I export data from Aviato, I need to analyze it in a different tool?",other
"I'm trying to add a new payment method in Tracksy but it's not working, can you help me troubleshoot?",billing
I'm getting a 'sync failed' error when trying to connect Tracksy to my Google Drive account.,technical_issue
Can you add a feature to BloomCRM that allows us to customize the dashboard with our company's logo?,feature_request
Can you change my billing date for Aviato to the 15th of each month instead of the 1st?,billing
Do you offer any discounts for non-profit organizations using Aviato?,other
"The 'User Management' section in BloomCRM is not loading, I get a 'Page Not Found' error when I try to access it.",technical_issue
"I'm trying to use the BloomCRM API to fetch customer data, but it's returning an error message 'invalid request'.",technical_issue
"I've heard great things about your customer support team, can you tell me more about your support process?",other
Can we get a feature to set custom access permissions for team members in Aviato?,feature_request
Can you explain why I'm being charged a different price for Aviato than what's listed on the website?,billing
It would be amazing if Tracksy had a 'task dependency' feature to visualize project relationships.,feature_request
Can you please clarify why I was double charged for my monthly Aviato subscription?,billing
Can you tell me more about the data security measures in place at Aviato?,other
"I'd love to see a feature in Tracksy that allows me to track website interactions, can you make that happen?",feature_request
"I need to add another user to my Aviato subscription, but I'm not sure how this will affect my billing, can you advise?",billing
Can you explain why I'm being charged a higher price for Tracksy than what's listed on the website?,billing
When will I be billed for the upcoming month of BloomCRM premium?,billing
"I'm not sure what's going on, but Tracksy's user interface has just gotten really confusing and hard to navigate.",complaint
"Can someone help me understand how to use the 'Tasks' feature in Aviato, I'm not sure I'm using it correctly?",other
I wish Tasksy had a Gantt chart view for visualizing project timelines and dependencies.,feature_request
"Can you tell me more about your partnership opportunities, I'm interested in potentially working together?",other
"Your customer support team is really unresponsive, I've been waiting for days to get a simple question answered about BloomCRM.",complaint
"I'm starting to think that Aviato is just a money grab, the constant upselling and cross-selling is really annoying and unprofessional.",complaint
"I'm seeing a charge on my credit card for Tracksy, but I don't recall signing up for it, can you please investigate?",billing
"I'm at my wit's end with the lack of transparency from your team, we deserve better communication about the development roadmap of BloomCRM.",complaint
Can you please add a reminder feature to Tracksy so we don't forget important deadlines?,feature_request
"I've been trying to cancel my subscription to BloomCRM, but I'm still being charged, can you please assist me?",billing
I'm interested in learning more about the customer success team and how they can help me get the most out of BloomCRM,other
"I'd love to see an integration between Aviato and Slack, so we can get notifications and updates directly in our channels.",feature_request
"I'd like to request a refund for my unused Aviato credits, is this possible?",billing
"I'm trying to sync my data from BloomCRM to Aviato, but it's not working and I'm getting an 'authentication failed' error.",technical_issue
"The Aviato dashboard is not displaying any data, it's just a blank screen with a loading animation.",technical_issue
"I have a question about my invoice for last month's BloomCRM usage, can you provide a breakdown of the charges?",billing
"I've been trying to integrate BloomCRM with our company's LinkedIn page, but it's not working, can you assist me?",technical_issue
"It would be amazing if BloomCRM had a predictive analytics feature, that would help me forecast sales and revenue.",feature_request
"I'm trying to upload a file to Tracksy but it's giving me a 'File Type Not Supported' error, even though it's a standard PDF.",technical_issue
"I'm trying to integrate my BloomCRM with Mailchimp, but the connection keeps failing, can you assist me?",technical_issue
"I've been charged for a service I didn't use in Tracksy, can I get a refund or credit towards my next bill?",billing
It would be great if Tracksy had a mobile app for on-the-go tracking of projects.,feature_request
"I'm fed up with the constant bugs and glitches in Aviato, it's affecting my work.",complaint
"Your product Tracksy has so much potential, but the onboarding process is a total mess, it's like you're trying to confuse us.",complaint
"I'm at my wit's end with Aviato, the constant frustration is taking a toll on my productivity.",complaint
"I've been noticing that the BloomCRM calendar is not syncing with our Google Calendar, can you help me resolve this integration issue?",technical_issue
"How do I update my billing address for Tracksy, I just moved to a new office.",billing
"When I try to upload a file to the BloomCRM document manager, I get an error saying the file type is not supported, even though it's a standard PDF.",technical_issue
Can you explain the difference between the various pricing plans offered by Tracksy?,other
Can you add a custom dashboard option to BloomCRM so I can see the metrics that matter most to my business?,feature_request
"Every time I try to create a new project in Tracksy, I get a '500 internal server error', what's going on?",technical_issue
"I'm being charged for a year of BloomCRM, but I only wanted to pay month-to-month, can I get a refund for the rest of the year?",billing
"I'm not sure what's going on with Aviato's development team, but it feels like they're not listening to customer feedback at all.",complaint
Can someone from Tracksy reach out to discuss a custom implementation for my company?,other
"I've been recommending Tracksy to colleagues, but after the latest update, I'm regretting that decision, the new layout is a mess.",complaint
"I've been trying to cancel my subscription to Tracksy but the website won't let me, can you cancel it for me?",billing
"It would be really helpful if Aviato had a built-in time tracking feature, can you add that to the roadmap?",feature_request
"I'm so disappointed in the lack of transparency from Aviato, it feels like you're hiding something from us.",complaint
"I'd love to discuss potential partnership opportunities between our company and Aviato, is there a contact I can speak with?",other
I'd love to see a feature in Aviato that allows me to create custom workflows for our team's processes.,feature_request
"I'm trying to find the Aviato user manual, can you please provide a link?",other
"I'm experiencing a weird issue where Tracksy is duplicating tasks, can you look into this?",technical_issue
I'm looking for some information about the security measures in place to protect user data in Aviato - can you provide some details?,other
"Can I pay my BloomCRM subscription annually instead of monthly, and will I get a discount?",billing
"I'm trying to get started with Aviato, but I'm not sure what the best workflow is for my team - can someone reach out to help me get set up?",other
Can you tell me more about the security measures in place for Aviato's cloud storage?,other
"Can you please add a feature to Tracksy that allows me to create custom fields and tags, that would make it easier to organize my data.",feature_request
"It would be great if Tracksy had a feature to set custom notification preferences, so I can control what emails I receive.",feature_request
I think it would be great if Aviato had a built-in time tracking feature for tasks.,feature_request
I wish there was an option in BloomCRM to send automated follow-up emails to clients,feature_request
"I've been using Aviato for months now and the constant lag is making it hard for me to meet deadlines, this is unacceptable.",complaint
"I'm starting to think that Aviato is just not the right fit for our company, the vibe is just not good.",complaint
"I've had it with the constant 'we're working on it' responses from your support team, it's time for some real action on the issues with BloomCRM.",complaint
"I'm getting a 'Failed to load data' error when trying to access my dashboard on Aviato, can you help me fix this?",technical_issue
"I've been trying to troubleshoot the issue with the Tracksy API, but I'm getting a 'connection refused' error, can you provide assistance?",technical_issue
"I'm at my wit's end with Tracksy, it's just so frustrating to use, I'm on the verge of cancelling my subscription.",complaint
"I don't know what kind of testing you guys do at Tracksy, but it's clear that you're not listening to your customers.",complaint
"The Aviato web app is slow and unresponsive, taking forever to load pages and respond to clicks.",technical_issue
"I'm experiencing issues with the Tracksy search function, it's not returning any results even though I know the data is there.",technical_issue
I'd like to schedule a demo of Tracksy to see if it's a good fit for our company,other
"I'm being charged for an extra user in Aviato that I didn't add, can you remove the charge and the extra user?",billing
"I'm trying to reactivate my BloomCRM account, but it's saying my payment method is invalid.",billing
Can you please clarify why I was charged a different amount this month for BloomCRM?,billing
"I've been a loyal customer of BloomCRM for years, but the recent changes have made me question my loyalty.",complaint
"I'm trying to find the Aviato dashboard tutorial, can you please point me in the right direction?",other
The BloomCRM mobile app crashes every time I try to access the contacts tab.,technical_issue
"I'm interested in exploring potential partnership opportunities between my company and BloomCRM, can we schedule a call?",other
"I've been a loyal customer of Aviato for years, but the recent changes have really made me question my decision, it's just not the same.",complaint
"I have a question about the billing cycle for Tracksy, can you please clarify how it works?",billing
"I'm starting to regret switching to Aviato, the overall feel of the product is just not what I expected.",complaint
"I just received an email that my subscription to BloomCRM is going to renew, but I want to cancel it, can you cancel it for me?",billing
"I'm trying to export data from BloomCRM but it's giving me a 'Failed to Export' error, can you help me resolve this?",technical_issue
"Can you add a feature to Tracksy that allows us to set deadlines for tasks, and send reminders to team members when they're approaching?",feature_request
What are the system requirements for running Tracksy on a Mac?,other
"I've been using Tracksy for months now and I have to say, the user experience is really underwhelming, feels like it was designed for a different era.",complaint
"I'm getting really tired of the 'coming soon' label on so many features in BloomCRM, when can we actually expect to see some real progress?",complaint
"I'm trying to pay my outstanding balance for Tracksy, but the payment page isn't working, can you please help?",billing
Is there any way to add custom fields to the customer profile in BloomCRM so we can store additional information?,feature_request
"I'm shocked at how little attention is paid to the user experience in Tracksy, it's like the developers have never used the product themselves.",complaint
Are there any plans to expand the Tracksy platform to include additional features or tools?,other
Where can I find more information about the Tracksy API and how to integrate it with our existing tools?,other
"I'm getting a 'server error' when trying to log in to Aviato, can you please help me resolve this issue?",technical_issue
"I think it would be great if your software had a built-in project timeline view, similar to what Asana offers.",feature_request
Can you provide more information about the onboarding process for new Aviato customers?,other
"I'm trying to find a way to export my data from BloomCRM, can you walk me through the process?",other
"Do you have a community forum or support group for Aviato users, I'd love to connect with others?",other
"It would be fantastic if BloomCRM had a feature to automate lead scoring, so we can focus on the most promising leads.",feature_request
"I'm trying to cancel my Tracksy subscription, but the website is saying I'm still under contract, can you please review my account and confirm",billing
"I'm not sure if I'm using the 'Reports' feature in BloomCRM correctly, can someone provide some guidance?",other
"I want to upgrade my Aviato plan but I'm not sure how it will affect my billing, can you help me?",billing
Can you provide some information about the company culture and values at BloomCRM - I'm interested in learning more about what it's like to work there,other
"Can you help me troubleshoot why my BloomCRM account is not sending emails, I've checked the settings and everything looks correct.",technical_issue
"I need to update my payment method for BloomCRM, but the website isn't letting me, can you help me with this?",billing
I'm getting a 'server error' when trying to save changes to a contact in Tracksy.,technical_issue
"BloomCRM's email notifications are really annoying and uncustomizable, can you please give us more control over what we receive?",complaint
Can you please add a feature to Aviato that allows us to track website analytics?,feature_request
"When I try to upload a file to Aviato, I get a 'File Upload Failed' error, can you help me resolve this issue?",technical_issue
"Can you add a custom fields option to Tracksy, I need to track some specific data for my clients.",feature_request
What's the policy on refunds for cancelled subscriptions to Tracksy?,billing
I'd love to see a 'project template' feature in Tracksy to speed up new project creation.,feature_request
"BloomCRM was supposed to make our lives easier, but it's just added more work and stress, what's going on?",complaint
"I'd love to learn more about the Tracksy development roadmap, are there any exciting features coming soon?",other
"Tracksy's dashboard isn't loading for me, just a blank page with a spinning wheel, can you help?",technical_issue
Can you provide more information about your API and how it can be used to integrate with other tools?,other
It's really important for us to have a feature in Tracksy that allows us to track customer interactions across multiple channels.,feature_request
"I'm really disappointed in the overall direction of Aviato, it's just not what I signed up for.",complaint
"I don't understand why Tracksy doesn't have a more comprehensive tutorial or guide, it's like you're leaving us to figure everything out on our own.",complaint
"I was supposed to be on a free trial for Tracksy but I was charged immediately, can I get a refund?",billing
"Aviato's dashboard is not loading for me, I've tried clearing my cache and restarting my browser but nothing seems to work.",technical_issue
"I love using Aviato, but I think it would be amazing if you could add a feature to integrate it with our existing CRM system.",feature_request
"I'm getting a 'Sync Failed' error when trying to connect my Tracksy account to BloomCRM, can you help me resolve this?",technical_issue
"The Aviato data export feature is not working, it's not generating a CSV file.",technical_issue
"When I try to upload a file to Tracksy, it says 'file type not supported', but it's a standard PDF.",technical_issue
"The Tracksy API is returning a 'rate limit exceeded' error, but I'm not sure why since I'm not making that many requests.",technical_issue
"My credit card expired and now my Tracksy subscription is suspended, how do I update my payment information?",billing
"I'm on the verge of cancelling my subscription to Tracksy, it's just not worth the hassle.",complaint
Can someone please explain to me why BloomCRM's UI looks like it was designed in the 90s?,complaint
"I've tried to reset my password in Aviato but the reset link is not working, can you help me regain access?",technical_issue
"I'm trying to find a way to integrate Aviato with our existing project management tool, can you offer any suggestions?",other
"Can someone explain to me why Aviato's customer support is so unresponsive, it's like they don't care about their customers.",complaint
"The Tracksy community forums are really unhelpful, it's like nobody knows what they're talking about.",complaint
"I've been charged twice for my Aviato subscription this month, can you please look into this and refund the extra charge?",billing
Are there any upcoming webinars or events for BloomCRM users?,other
Can you tell me what the difference is between the premium and standard plans for your product?,other
"I've tried to use BloomCRM on multiple devices, but it's just not consistent, it's really annoying.",complaint
"The BloomCRM mobile app is crashing every time I try to access the dashboard, please help!",technical_issue
"Can I change my subscription plan on Tracksy to a lower tier, and if so, how will it affect my billing?",billing
Can someone walk me through the process of setting up a new user account in Tracksy?,other
"The search function in Aviato is not working, it's not returning any results even though I know the data is there.",technical_issue
"Can we get an option to export data from Aviato in CSV format, it's really needed for our reporting?",feature_request
Where can I find more information about Tracksy's data storage policies?,other
I'm getting a 'Permission Denied' error when trying to access a project in Tracksy.,technical_issue
"I love the idea behind Aviato, but the execution is just not there, too much hype and not enough substance.",complaint
"I'm having trouble with the BloomCRM email integration, it's not sending emails from my account.",technical_issue
Can you help me understand how to use the reporting features in Aviato to track my team's progress?,other
"It would be great if BloomCRM had a feature to create custom sales pipelines, so we can tailor the platform to our sales process.",feature_request
"Are there any upcoming updates or new features planned for Aviato, I'd love to stay informed",other
"I'm extremely disappointed with the overall performance of Aviato, it's been a letdown since we switched from BloomCRM.",complaint
"I wish BloomCRM had a feature to create custom fields for contacts, so I can store more detailed information.",feature_request
Why was my credit card declined when trying to pay for BloomCRM? I have sufficient funds.,billing
I'm getting a 'Connection Timed Out' error when trying to access the Aviato API.,technical_issue
"Can you please add a search function to the knowledge base in Aviato, it's really hard to find what I'm looking for.",feature_request
"Urgent: my Tracksy invoice is overdue and I'm about to be charged a late fee, can you help me pay it ASAP?",billing
"I was really looking forward to using BloomCRM, but the interface is so cluttered and overwhelming, I don't know where to start.",complaint
"I'm not sure why I was charged a late fee for my Tracksy payment, I thought I paid on time",billing
"The more I use BloomCRM, the more I feel like I'm being nickel and dimed for every little feature.",complaint
"I'm trying to decide between BloomCRM and a competitor, can you tell me what sets you apart?",other
"I'm experiencing issues with the BloomCRM email template editor, it's not saving my changes.",technical_issue
"I'm not sure why I'm being charged for an extra user on my Tracksy subscription, can you please investigate",billing
"I've had it with Aviato's lack of transparency, it's like they're hiding something from their customers.",complaint
Is there a way to export my data from BloomCRM to use in other tools?,other
"I'm looking for a way to automate some of our sales workflows using Aviato, do you have any recommendations?",other
"I wish Aviato had a feature to automate data entry, that would save me so much time and reduce errors.",feature_request
"I'm trying to cancel my BloomCRM subscription but I'm being told I have to pay for the rest of the year, is that correct?",billing
"I was expecting a discount on my Tracksy subscription, but it didn't apply, can you look into this?",billing
"Can we get an option to change the layout of the dashboard in BloomCRM, the current one is a bit cluttered for my taste.",feature_request
"I need to update my billing address for Tracksy, where do I do this in the app?",billing
I'd like to request a demo of Tracksy to see if it's a good fit for my business,other
I've been using Aviato for a while now and I think it would be fantastic if you could add a feature to track customer interactions.,feature_request
Do you have any case studies or success stories from existing customers that I can review?,other
"Can you please provide more information on the security measures in place for BloomCRM, I have some concerns",other
"I'm trying to reactivate my Tracksy account but it's saying my payment method is invalid, can you help me with this?",billing
"Tracksy's lack of innovation is staggering, it's like the company is resting on its laurels and not investing in meaningful updates.",complaint
"I'm extremely dissatisfied with the overall performance of Aviato, it's been a letdown since we switched from BloomCRM.",complaint
"The UI for Tracksy is not working properly on my iPhone, the buttons are all misplaced and it's hard to navigate.",technical_issue
"I need to update my billing contact information, as the current person is no longer with our company.",billing
Can we get an option to export reports from BloomCRM in CSV format for easier analysis?,feature_request
What is the process for downgrading my Aviato subscription from premium to standard?,billing
"I'm extremely disappointed with the overall performance of Aviato, it's been a letdown since we switched from Tracksy.",complaint
"My company is tax exempt, how do I get the tax removed from my Aviato invoices?",billing
I've been using Tracksy for a while now and I'm curious to know what kind of resources are available for power users?,other
"I'm starting to regret choosing Aviato over other options, the experience has been underwhelming to say the least.",complaint
"The calendar integration in BloomCRM is not syncing properly with my Google Calendar, can you help me troubleshoot?",technical_issue
Can we get an option to export data from BloomCRM in a CSV format?,feature_request
"The BloomCRM plugin for Chrome is not working, it's not syncing my data and I'm getting an error message.",technical_issue
Can you tell me what the difference is between the Pro and Enterprise plans for Aviato?,other
Can you please add a feature to BloomCRM that allows me to create custom fields for my contacts?,feature_request
"Do you offer any discounts for non-profit organizations, I'm interested in using BloomCRM for our charity?",other
"I'm experiencing a weird bug in the BloomCRM mobile app, the login button is not responding to clicks.",technical_issue
I think it would be really helpful if Aviato had a built-in project template library.,feature_request
"I'm shocked at how unprofessional the company has been in handling my concerns, it's really unimpressive.",complaint
"The current search function in BloomCRM is really limited, can you improve it to include more filters and sorting options?",feature_request
"It would be great if Tracksy had a feature that allowed us to set up custom permissions, so we could control who can see and edit what.",feature_request
"I'm having trouble with the Aviato workflow builder, it's not saving my changes and is giving me a 'validation error' message.",technical_issue
"The Tracksy integration with BloomCRM is not syncing properly, it's causing discrepancies in our sales reports.",technical_issue
It would be great if Aviato could integrate with Google Calendar to schedule meetings directly from the app.,feature_request
"I wish Aviato had a more advanced reporting feature, something that would allow me to drill down into specific metrics.",feature_request
I wish Aviato had a feature to send automated reports to stakeholders on a weekly basis.,feature_request
Where can I find more information about your company's leadership team and their backgrounds?,other
"I wish BloomCRM had a mobile app, it's really inconvenient to use it only on desktop.",feature_request
"I've tried to get on board with Tracksy, but the lack of attention to detail in the design is really off-putting.",complaint
"I expect more from a company like yours, the subpar service quality of Aviato is not what I signed up for.",complaint
